corn_weekly_rv,corn_weekly_rvg,corn_weekly_rvb,corn_weekly_rsk,corn_weekly_rku,corn_weekly_jumps,corn_weekly_tru,corn_weekly_trd,corn_weekly_lev,corn_monthly_rv,corn_monthly_rvg,corn_monthly_rvb,corn_monthly_rsk,corn_monthly_rku,corn_monthly_jumps,corn_monthly_tru,corn_monthly_trd,corn_monthly_lev,corn_seasonal_rv,corn_seasonal_rvg,corn_seasonal_rvb,corn_seasonal_rsk,corn_seasonal_rku,corn_seasonal_jumps,corn_seasonal_tru,corn_seasonal_trd,corn_seasonal_lev,soybeans_weekly_rv,soybeans_weekly_rvg,soybeans_weekly_rvb,soybeans_weekly_rsk,soybeans_weekly_rku,soybeans_weekly_jumps,soybeans_weekly_tru,soybeans_weekly_trd,soybeans_weekly_lev,soybeans_monthly_rv,soybeans_monthly_rvg,soybeans_monthly_rvb,soybeans_monthly_rsk,soybeans_monthly_rku,soybeans_monthly_jumps,soybeans_monthly_tru,soybeans_monthly_trd,soybeans_monthly_lev,soybeans_seasonal_rv,soybeans_seasonal_rvg,soybeans_seasonal_rvb,soybeans_seasonal_rsk,soybeans_seasonal_rku,soybeans_seasonal_jumps,soybeans_seasonal_tru,soybeans_seasonal_trd,soybeans_seasonal_lev,wheat_weekly_rv,wheat_weekly_rvg,wheat_weekly_rvb,wheat_weekly_rsk,wheat_weekly_rku,wheat_weekly_jumps,wheat_weekly_tru,wheat_weekly_trd,wheat_weekly_lev,wheat_monthly_rv,wheat_monthly_rvg,wheat_monthly_rvb,wheat_monthly_rsk,wheat_monthly_rku,wheat_monthly_jumps,wheat_monthly_tru,wheat_monthly_trd,wheat_monthly_lev,wheat_seasonal_rv,wheat_seasonal_rvg,wheat_seasonal_rvb,wheat_seasonal_rsk,wheat_seasonal_rku,wheat_seasonal_jumps,wheat_seasonal_tru,wheat_seasonal_trd,wheat_seasonal_lev,ssta_elino,ssta_lanina,SOI_index,NAO_index,DJIA_Index,WTI_Index,Broad_Dollar_index,Text_Climate_Anomaly,Stock_Uncertainty,frbsf_sentiment,epu_index,zscore_co2,co2_weekly_mean,co2_monthly_mean,TMAX_q3_value_in_planting,TMAX_q3_value_in_harvesting,TMAX_q4_value_in_planting,TMAX_q4_value_in_harvesting,TMIN_q3_value_in_planting,TMIN_q3_value_in_harvesting,TMIN_q4_value_in_planting,TMIN_q4_value_in_harvesting,AWND_q3_value_in_planting,AWND_q3_value_in_harvesting,AWND_q4_value_in_planting,AWND_q4_value_in_harvesting,weekly_TMAX_q3_value_in_planting,weekly_TMAX_q3_value_in_harvesting,weekly_TMAX_q4_value_in_planting,weekly_TMAX_q4_value_in_harvesting,weekly_TMIN_q3_value_in_planting,weekly_TMIN_q3_value_in_harvesting,weekly_TMIN_q4_value_in_planting,weekly_TMIN_q4_value_in_harvesting,weekly_AWND_q3_value_in_planting,weekly_AWND_q3_value_in_harvesting,weekly_AWND_q4_value_in_planting,weekly_AWND_q4_value_in_harvesting,monthly_TMAX_q3_value_in_planting,monthly_TMAX_q3_value_in_harvesting,monthly_TMAX_q4_value_in_planting,monthly_TMAX_q4_value_in_harvesting,monthly_TMIN_q3_value_in_planting,monthly_TMIN_q3_value_in_harvesting,monthly_TMIN_q4_value_in_planting,monthly_TMIN_q4_value_in_harvesting,monthly_AWND_q3_value_in_planting,monthly_AWND_q3_value_in_harvesting,monthly_AWND_q4_value_in_planting,monthly_AWND_q4_value_in_harvesting,moderate_wet,wet,moderate_dry,dry
0.014740239,0.009140005,0.011311447,-1.059369257,12.52042576,3.93e-05,6.53e-05,0.000102625,-0.212747711,0.014421323,0.010363463,0.009828232,0.229472303,10.28326894,3.17e-05,9.36e-05,8.06e-05,0.048864081,0.01833094,0.013086303,0.012506158,0.198503432,10.79653521,5.65e-05,0.000146657,0.000130606,0.038169227,0.013745037,0.01024464,0.009046064,0.334186289,9.953557064,2.58e-05,7.89e-05,5.36e-05,0.088960097,0.014318729,0.010380277,0.009664072,0.308645569,8.861646725,3.13e-05,7.63e-05,7.27e-05,0.071643028,0.016754073,0.011672923,0.01176751,-0.038476162,10.43429375,4.07e-05,0.000105639,0.000117542,0.009270938,0.016387447,0.009909165,0.012814957,-0.760118455,10.65215315,6.54e-05,8.04e-05,0.000121076,-0.221651218,0.017891765,0.012337823,0.012344105,0.122117149,11.38580222,5.83e-05,0.000128684,0.000129545,0.020442359,0.018790945,0.012806616,0.01331924,-0.2536716,11.25895138,7.75e-05,0.000140161,0.0001551,-0.046705163,0.0,0.0,0.53,0.3639999999999999,,3.9110225050945626,100.1369,-0.0223675138902895,170.87,-0.2257142857142857,117.4342857142857,-1.4820516386980995,388.58,386.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1047014589699888,0.0,0.1108250218548231,0.0,-0.0058083254908476,0.0,-0.0001576147654692,0.0,0.0024084409901394,0.0,0.0035370383835445,0.047692160224709505,0.2192359767606472,0.0,0.0
0.015534191,0.010500673,0.01104892,-0.11978943,12.95731792,4.73e-05,0.000102069,9.75e-05,-0.087394871,0.013475987,0.009212926,0.009636703,-0.214574065,10.75423761,2.61e-05,6.89e-05,7.53e-05,-0.041828968,0.017249858,0.011990667,0.012115918,-0.006861352,11.04471664,5.21e-05,0.000119558,0.000124034,-0.007685657,0.012856675,0.009220111,0.008677458,0.349171501,9.394097077,1.71e-05,6.3e-05,6.08e-05,0.119809702,0.014093876,0.010262603,0.009490115,0.277501496,9.459523254,2.96e-05,7.32e-05,6.75e-05,0.070363729,0.016092315,0.011167659,0.011337661,-0.059178725,10.65749782,4.27e-05,9.33e-05,0.000108684,0.004221004,0.016181118,0.010885267,0.011811128,-0.451212645,8.180075189,2.7e-05,8.79e-05,0.000112539,-0.068741751,0.017448033,0.011492218,0.012701827,-0.282815873,10.9804659,5.97e-05,0.000109018,0.000133978,-0.066292076,0.018046981,0.012038083,0.013020072,-0.37486314,11.27529712,7.4e-05,0.000120825,0.000147134,-0.076522824,0.0,0.0,0.32,0.8026666666666665,8.996687887653795,3.818151789818076,101.448,0.1862852826168679,51.76428571428572,-0.2357142857142857,127.53142857142858,-1.427372726603586,388.5625,387.2484615384616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0685375991213428,0.0,0.1089196536152613,0.0,-0.0028601207431736,0.0,-0.0001576147654692,0.0,0.0023117560882111,0.0,0.0033279677838945,0.18021316044664,0.23841728120518016,0.0,0.0
0.020030673,0.014931886,0.013110077,0.887230444,12.17194584,8.81e-05,0.000186998,0.000120577,0.129211483,0.014256685,0.009721407,0.010176272,-0.248412252,11.26571179,3.18e-05,8.26e-05,8.4e-05,-0.058460652,0.016317726,0.011430392,0.011361253,0.046012464,11.42607925,5.03e-05,0.000111688,0.000105369,0.00051254,0.016854165,0.011794873,0.0117057,0.104856975,9.686918215,4.26e-05,0.000112767,9.51e-05,-0.006609614,0.013880776,0.010079575,0.009372701,0.24979516,9.011792253,2.53e-05,7.16e-05,6.53e-05,0.076637673,0.015309731,0.010756335,0.010646636,0.047005444,10.66036616,4.09e-05,8.71e-05,9.52e-05,0.031450812,0.019603559,0.014760789,0.012812002,1.095418638,15.26510798,0.000110327,0.000195056,0.000128163,0.14781726,0.016643706,0.011109097,0.01205516,-0.332641093,10.0715932,5.26e-05,9.65e-05,0.000114662,-0.063458924,0.017311438,0.011536295,0.012514401,-0.357478178,10.83859883,6.26e-05,0.000108996,0.000132276,-0.077031683,0.0,0.0,0.1099999999999999,1.2413333333333332,9.013401703828707,3.914220588971633,100.7258,0.6151753842069746,58.567142857142855,-0.2557142857142857,170.92428571428573,-1.2886351884533152,388.665,387.5553846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0577966970919192,0.0,0.0464597764326357,0.0,-0.0028039459756411,0.0,-0.0001576147654692,0.0,0.0002539087750425,0.0,0.0007572165587406,0.20652217162178507,0.29954822479905374,0.0,0.0
0.019517279,0.015243226,0.011857615,1.633651388,17.23382797,5.37e-05,0.000198031,0.000107299,0.22864681,0.016353746,0.011378192,0.011426222,-0.076542446,11.90880433,4.84e-05,0.00011618,0.000100529,-0.043545556,0.016492056,0.011655238,0.011374512,0.138607429,11.7243835,5.3e-05,0.000117862,0.000105565,0.018379023,0.018022223,0.013671959,0.0112569,0.655912433,8.867536736,4.38e-05,0.000135834,0.000104969,0.180640562,0.014415905,0.010497964,0.009664234,0.31912991,9.68159639,2.95e-05,8.29e-05,6.91e-05,0.083351595,0.015262071,0.0107325,0.010598503,0.028378888,10.51622859,4.07e-05,8.62e-05,9.21e-05,0.026636582,0.017733399,0.012492715,0.012020593,-0.304049358,13.12473835,9.8e-05,0.000144303,0.000126273,-0.042098784,0.017694806,0.012262419,0.01249229,-0.093208454,11.30373579,6.56e-05,0.00012668,0.000122375,-0.03049635,0.017542044,0.011844684,0.012541194,-0.217725186,11.31971019,6.63e-05,0.000116851,0.000132631,-0.051372725,0.0,0.0,-0.0687557603686636,1.5463778801843318,9.0565654548746,3.99838417107619,99.134,0.2571087555006853,57.11,-0.2371428571428571,143.80428571428573,-1.318014902414549,389.3,387.9653846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0550846817259896,0.0,0.0162265147622958,0.0,-0.0009817495908276,0.0,0.0,0.0,0.0002539087750425,0.0,0.0002373871925443,0.14661641767092837,0.2463379193588927,-0.020237282130275067,0.0
0.016296037,0.010814976,0.011872437,-0.590406109,13.13168104,2.31e-05,7.97e-05,0.000135817,-0.057299203,0.017455596,0.012453947,0.011832015,0.335430786,13.72087937,5.71e-05,0.000138106,0.000107006,0.014428928,0.01661543,0.011874998,0.011296899,0.295144191,12.41003727,5.37e-05,0.000123972,0.000104488,0.042186819,0.015925105,0.010928984,0.01150303,-0.48748466,8.106095041,3.3e-05,8.08e-05,0.000103598,-0.08252214,0.015369525,0.011232896,0.01017153,0.3610318,9.475527273,3.23e-05,9.76e-05,7.86e-05,0.095700187,0.015395177,0.010862739,0.01061636,0.060966769,10.44333582,4.26e-05,8.85e-05,9.3e-05,0.035469059,0.018826186,0.013547454,0.012971266,0.068441987,6.456687856,3.55e-05,0.000129155,0.000139156,0.044125601,0.017476381,0.012011984,0.01236467,-0.104990455,11.80551867,7.52e-05,0.000126915,0.000122013,-0.046168623,0.017382504,0.011826323,0.012330774,-0.168003389,11.47761868,6.98e-05,0.00011796,0.000127271,-0.040081044,0.0,0.0,-0.0548387096774193,1.0274193548387096,9.020225324675762,4.062681881713259,97.747,0.1078265654444603,28.824285714285715,-0.2485714285714285,117.49714285714286,-1.327808140401627,389.8025,388.323076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714592361760678,0.23150444702380527,-0.026582197803100574,0.0
0.016545622,0.011160782,0.011932434,-0.175421801,11.23058698,4.54e-05,9.55e-05,0.000104418,-0.071535168,0.017844545,0.01287269,0.011972262,0.452671573,13.87369319,5.31e-05,0.00014169,0.000115304,0.053291055,0.016627836,0.011860844,0.011317839,0.239437861,12.73463467,5.09e-05,0.000122188,0.000106386,0.038237531,0.014547799,0.010327495,0.010050362,-0.0724575,8.399977178,3e-05,7.39e-05,7.48e-05,-0.002941686,0.015914542,0.011403982,0.010785772,0.155614062,9.013661767,3.41e-05,9.81e-05,9.11e-05,0.052829628,0.015463766,0.011035473,0.010565456,0.127274919,10.27072388,4.32e-05,9.05e-05,9.07e-05,0.054214288,0.021126496,0.014065829,0.01557979,-0.467677868,10.77384117,5.66e-05,0.00015313,0.000194763,-0.10492538,0.018086066,0.012921556,0.012403747,0.102149655,10.75665234,6.77e-05,0.000139102,0.000126533,0.020275581,0.017557198,0.012097119,0.012317275,-0.06769938,11.22844935,6.65e-05,0.000121987,0.000125733,-0.01689797,0.0,0.0,-0.0096774193548387,0.3748387096774194,9.021274523488795,4.081090446543684,97.9412,-0.1811279382357986,23.15142857142857,-0.3,158.09,-1.380038742999374,390.275,388.6215384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28946727901894287,0.2575428393546708,-0.0708988407746143,0.0
0.016313181,0.011744185,0.011270878,0.070299346,7.887146008,3.85e-05,9.59e-05,8.64e-05,0.028154982,0.018097403,0.013037718,0.012193141,0.438763481,13.44201046,5.26e-05,0.000140057,0.000117028,0.05725598,0.016599425,0.01182433,0.011298081,0.244485305,12.86554348,4.87e-05,0.000122056,0.000104493,0.031938767,0.014027471,0.009606175,0.010008856,-0.446741436,10.05733895,5.62e-05,6.3e-05,8.33e-05,-0.039316147,0.016337323,0.011680828,0.011128998,0.050206812,8.765131792,3.74e-05,0.000100818,9.46e-05,0.022141781,0.015153877,0.010963047,0.010234838,0.232488593,9.235786089,3.59e-05,8.94e-05,8.13e-05,0.065778545,0.017344031,0.012191833,0.01223506,-0.025674881,7.226805577,5.55e-05,0.000101915,0.000108974,-0.00825351,0.01932241,0.013716697,0.013345913,0.09803335,11.40509384,7.51e-05,0.000155411,0.000147089,0.011229674,0.017896291,0.012363721,0.012538656,-0.012535646,11.00551506,6.63e-05,0.000126421,0.000129767,-0.008315442,0.0,0.0,0.0354838709677419,-0.2777419354838709,9.047860265254206,4.120337142496354,,-0.2735407225563188,50.855714285714285,-0.2971428571428571,114.26142857142858,-1.2698648156447527,390.42,388.86769230769227,0.4098616582589114,0.0,0.0336128485205914,0.0,-0.0007957169032254,0.0,-0.0043941946392294,0.0,7.488926775569009e-06,0.0,0.0049302357882115,0.0,0.1024654145647278,0.0,0.0084032121301478,0.0,-0.0001989292258063,0.0,-0.0010985486598073,0.0,1.872231693892252e-06,0.0,0.0012325589470528,0.0,0.0315278198660701,0.0,0.0025856037323531,0.0,-6.12089925558046e-05,0.0,-0.0003380149722484,0.0,5.760712904283852e-07,0.0,0.0003792489067855,0.0,0.44677768878359836,0.262789297355461,-0.07645003698580935,0.0
0.01487566,0.010640497,0.010253708,0.505109692,10.26518702,3.75e-05,8.91e-05,9.13e-05,0.112934469,0.01716803,0.012240793,0.011733341,0.234530706,12.3708105,4.02e-05,0.000117274,0.000108473,0.031991855,0.016188693,0.01153157,0.011048117,0.218193293,12.16183929,4.52e-05,0.000113564,9.65e-05,0.027609227,0.012380373,0.009071003,0.008191315,0.851656143,14.08030984,1.95e-05,6.13e-05,5.2e-05,0.132240097,0.015630649,0.011133653,0.010704787,-0.087692791,8.857736977,4.08e-05,8.84e-05,9.17e-05,0.013965148,0.014888255,0.010699902,0.010120445,0.149607665,8.955396864,3.4e-05,8.32e-05,7.91e-05,0.050892292,0.017987403,0.013168672,0.012147133,0.475537599,7.955393912,3.7e-05,0.000132995,0.000120195,0.113676043,0.018757528,0.013074458,0.013201677,-0.18224003,9.395518239,6.14e-05,0.000132126,0.000142291,-0.027788018,0.017936853,0.012425391,0.012554744,0.008134356,10.54775167,6.27e-05,0.000126486,0.000127984,-0.00827966,0.0,0.0,0.0806451612903225,-0.9303225806451612,9.078308426047943,4.22053658745986,94.8107,-0.1522324878677728,23.94142857142857,-0.2742857142857143,97.32714285714285,-1.2331401731932123,390.4775,389.1646153846154,0.1474475534712712,0.0,0.0124293333138912,0.0,-0.0439312572314539,0.0,-0.0375049428564639,0.0,0.0189594936168602,0.0,0.002401684949444,0.0,0.1393273029325456,0.0,0.0115105454586206,0.0,-0.0111817435336698,0.0,-0.0104747843739232,0.0,0.0047417456359089,0.0,0.0018329801844138,0.0,0.0428699393638601,0.0,0.0035417062949602,0.0,-0.0034405364718984,0.0,-0.0032230105765918,0.0,0.0014589986572027,0.0,0.0005639939028965,0.0,0.47050236069277857,0.2704833262505117,-0.0250662609462323,0.0
0.015541963,0.010692634,0.011019607,0.074946482,8.398988609,3.32e-05,8.07e-05,8.44e-05,-0.016157477,0.016007625,0.01109011,0.011332364,-0.047604718,10.62865026,3.61e-05,9e-05,0.000104484,0.00306377,0.015961514,0.011302507,0.010997537,0.172432791,11.54426619,4.16e-05,0.000107233,9.74e-05,0.022118926,0.013400489,0.00977148,0.008986665,0.374907816,9.331460647,1.51e-05,6.72e-05,5.89e-05,0.092012807,0.014220187,0.009983414,0.009938391,-0.038756863,10.16093025,3.47e-05,6.97e-05,7.84e-05,0.001865031,0.014636147,0.010532196,0.009924664,0.210306835,9.499368084,3.28e-05,8.12e-05,7.66e-05,0.056402749,0.019322569,0.011158707,0.015615286,-1.267290181,9.187093077,7.74e-05,9.55e-05,0.000206452,-0.327867262,0.018821029,0.013243447,0.013233312,0.012656709,8.103182129,4.61e-05,0.000129299,0.000140772,0.011155688,0.018063058,0.012531085,0.012647362,0.009927801,10.431501,5.99e-05,0.000128299,0.000130777,-0.004856859,0.0,0.0,0.1133333333333333,-1.3353333333333333,9.082422906021367,4.231203744939298,96.6548,-0.8448676227715008,30.564285714285713,-0.3114285714285714,94.27571428571429,-1.2502783396705968,390.7375,389.50384615384615,0.0360286831975267,0.0,0.0592476255080468,0.0,-0.0719352829001371,0.0,-0.0362974497381858,0.0,0.0309949033651034,0.0,0.0031383366821699,0.0,0.1483344737319273,0.0,0.0263224518356323,0.0,-0.0291655642587041,0.0,-0.0195491468084697,0.0,0.0124904714771848,0.0,0.0026175643549563,0.0,0.0456413765329007,0.0,0.0080992159494253,0.0,-0.0089740197719089,0.0,-0.0060151220949137,0.0,0.0038432219929799,0.0,0.0008054044169096,0.0,0.4844744943747657,0.3353515306157929,0.0,0.0
0.018380962,0.012191031,0.013557077,0.041524547,16.13015282,7.1e-05,0.00011323,0.000145684,-0.066313505,0.015819106,0.011059525,0.011119157,0.11873343,9.445477155,3.86e-05,9.03e-05,9.16e-05,0.013349201,0.015713213,0.01104838,0.010909374,0.118943646,11.35780265,3.93e-05,0.000100292,9.41e-05,0.008270429,0.013863805,0.009618563,0.009854179,0.070655299,8.837536386,2.17e-05,6.97e-05,7.43e-05,0.026062251,0.013589033,0.009694038,0.0093093,0.176841256,10.46727165,3.02e-05,6.63e-05,6.73e-05,0.045498768,0.014532483,0.010453541,0.009861729,0.203318938,9.646818892,3.13e-05,7.92e-05,7.53e-05,0.056230708,0.019049321,0.01185992,0.014480729,-1.406479289,16.00275895,9.77e-05,0.000117914,0.00017693,-0.231541515,0.018945125,0.01264626,0.013894317,-0.321276333,8.785783434,5.66e-05,0.000120885,0.000157596,-0.081842527,0.018159741,0.012353345,0.012999964,-0.167314184,10.17430056,6.13e-05,0.000123002,0.000139369,-0.042619674,0.0,0.0,0.1366666666666667,-1.5546666666666664,9.052484670357764,4.252344965204106,96.7519,-0.8876513192161861,20.044285714285714,-0.3585714285714285,98.78714285714284,-1.322095418242499,390.975,389.8353846153846,0.2893431395306022,0.0,1.4580225140497518,0.0,-0.005875963427701,0.0,-0.0027085459649943,0.0,0.4068708926030059,0.0,0.1081608224867249,0.0,0.2206702586145779,0.0,0.3908280803480703,0.0,-0.0306345551156293,0.0,-0.0202262832997183,0.0,0.1142081946279363,0.0,0.0296577699766376,0.0,0.0678985411121778,0.0,0.1202547939532524,0.0,-0.0094260169586552,0.0,-0.0062234717845287,0.0,0.0351409829624419,0.0,0.0091254676851192,0.0,0.4211035288148858,0.2502940979208946,0.0,0.0
