series,n_obs,adf_statistic,p_value,critical_1%,critical_5%,critical_10%,stationary,trend_exists,crop,session,state,variable,category
corn_planting_AK_TMAX,468,-4.094168956120035,0.000990243644652651,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,AK,TMAX,Corn Planting
corn_planting_AK_TMIN,468,-4.170120961034406,0.0007399818769840803,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,AK,TMIN,Corn Planting
corn_planting_AK_AWND,468,-1.8670259247734975,0.3477285414308495,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,No,Yes,corn,planting,AK,AWND,Corn Planting
corn_planting_AL_TMAX,468,-4.835589624833085,4.6471897217480015e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,AL,TMAX,Corn Planting
corn_planting_AL_TMIN,468,-4.064334315467449,0.0011086814446258854,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,AL,TMIN,Corn Planting
corn_planting_AL_AWND,468,-2.594660328611079,0.09410589861720087,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,No,Yes,corn,planting,AL,AWND,Corn Planting
corn_planting_AR_TMAX,468,-4.200899808370424,0.0006565931340959495,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,AR,TMAX,Corn Planting
corn_planting_AR_TMIN,468,-4.154297508882719,0.0007866284892495321,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,AR,TMIN,Corn Planting
corn_planting_AR_AWND,468,-3.6192928955655908,0.00540272203481149,-3.4448040131772584,-2.8679131843980197,-2.5701646673107112,Yes,No,corn,planting,AR,AWND,Corn Planting
corn_planting_AZ_TMAX,468,-4.801617945806666,5.3999667868117936e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,AZ,TMAX,Corn Planting
corn_planting_AZ_TMIN,468,-4.995907177723022,2.2610827251128187e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,AZ,TMIN,Corn Planting
corn_planting_AZ_AWND,468,-3.5863447778175708,0.006027517003220178,-3.444932949082776,-2.867969899953726,-2.57019489663276,Yes,No,corn,planting,AZ,AWND,Corn Planting
corn_planting_CA_TMAX,468,-5.527633086989235,1.8175346662117611e-06,-3.4449982835447894,-2.8679986379826814,-2.5702102140862397,Yes,No,corn,planting,CA,TMAX,Corn Planting
corn_planting_CA_TMIN,468,-4.8097512633556265,5.209747192093249e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,CA,TMIN,Corn Planting
corn_planting_CA_AWND,468,-16.986712790832232,8.930336080010274e-30,-3.4444305322234365,-2.8677488864580885,-2.5700770984781443,Yes,No,corn,planting,CA,AWND,Corn Planting
corn_planting_CO_TMAX,468,-5.362064617753063,4.067359736396661e-06,-3.444932949082776,-2.867969899953726,-2.57019489663276,Yes,No,corn,planting,CO,TMAX,Corn Planting
corn_planting_CO_TMIN,468,-4.485785473304785,0.00020860217282614473,-3.444868194858831,-2.867941416548597,-2.5701797149735146,Yes,No,corn,planting,CO,TMIN,Corn Planting
corn_planting_CO_AWND,468,-4.922098914059494,3.15798693779739e-05,-3.444965543297668,-2.8679842369272976,-2.5702025382716047,Yes,No,corn,planting,CO,AWND,Corn Planting
corn_planting_CT_TMAX,468,-4.1507232458674075,0.0007975405831138191,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,CT,TMAX,Corn Planting
corn_planting_CT_TMIN,468,-3.082312241844015,0.027890155672831003,-3.444836032925901,-2.8679272692747415,-2.5701721745036776,Yes,No,corn,planting,CT,TMIN,Corn Planting
