,corr,abs_corr
wheat_weekly_rvg,0.706180881678014,0.706180881678014
wheat_weekly_rvb,0.6956691217259812,0.6956691217259812
wheat_monthly_rv,0.6522598823334514,0.6522598823334514
wheat_monthly_rvb,0.6454102763490384,0.6454102763490384
wheat_monthly_rvg,0.6447050296263436,0.6447050296263436
wheat_seasonal_rvb,0.6246224668336673,0.6246224668336673
wheat_seasonal_rv,0.6244792314580782,0.6244792314580782
wheat_seasonal_rvg,0.616073684111907,0.616073684111907
corn_weekly_rv,0.566952057881659,0.566952057881659
wheat_seasonal_trd,0.5648320661052821,0.5648320661052821
corn_weekly_rvb,0.5577666562186087,0.5577666562186087
corn_weekly_rvg,0.5573338618819829,0.5573338618819829
wheat_seasonal_tru,0.5511437952352825,0.5511437952352825
wheat_seasonal_jumps,0.5203343032330625,0.5203343032330625
wheat_weekly_trd,0.5193762451898167,0.5193762451898167
wheat_monthly_trd,0.5084529003113131,0.5084529003113131
soybeans_weekly_rv,0.4980983353152516,0.4980983353152516
wheat_weekly_tru,0.49749717714416397,0.49749717714416397
soybeans_weekly_rvg,0.49138838398281176,0.49138838398281176
corn_monthly_rv,0.4858553749064128,0.4858553749064128
wheat_monthly_tru,0.4856204302253052,0.4856204302253052
corn_monthly_rvg,0.48431551363818354,0.48431551363818354
corn_monthly_rvb,0.48388314259962867,0.48388314259962867
soybeans_weekly_rvb,0.4773687661756967,0.4773687661756967
wheat_monthly_jumps,0.4642953430822776,0.4642953430822776
wheat_weekly_jumps,0.440045850177979,0.440045850177979
corn_monthly_trd,0.43438101139901725,0.43438101139901725
soybeans_monthly_rvg,0.42904627651001653,0.42904627651001653
soybeans_monthly_rv,0.4243929084987189,0.4243929084987189
soybeans_monthly_rvb,0.4135575382904765,0.4135575382904765
corn_weekly_trd,0.4135433623150284,0.4135433623150284
corn_weekly_tru,0.40243859121631953,0.40243859121631953
corn_seasonal_rvg,0.3981561644934981,0.3981561644934981
corn_monthly_tru,0.39704645570021124,0.39704645570021124
corn_seasonal_rvb,0.394475876482523,0.394475876482523
corn_seasonal_rv,0.39359584590362706,0.39359584590362706
soybeans_weekly_tru,0.3792053307934069,0.3792053307934069
corn_seasonal_trd,0.3696932784836226,0.3696932784836226
soybeans_monthly_tru,0.35494595904654225,0.35494595904654225
soybeans_seasonal_rvg,0.3458318587767318,0.3458318587767318
soybeans_monthly_trd,0.33673493210543304,0.33673493210543304
soybeans_weekly_trd,0.3356759602892122,0.3356759602892122
corn_seasonal_tru,0.3349797777465408,0.3349797777465408
soybeans_seasonal_rv,0.3342089824935246,0.3342089824935246
soybeans_seasonal_rvb,0.32440663604965175,0.32440663604965175
soybeans_seasonal_tru,0.30528941936222753,0.30528941936222753
frbsf_sentiment,-0.28717125135908655,0.28717125135908655
epu_financial_reg,0.28548724952350835,0.28548724952350835
soybeans_seasonal_trd,0.2725066376885441,0.2725066376885441
ssta_lanina,-0.2593869078091823,0.2593869078091823
WTI_Index,0.24596359920517621,0.24596359920517621
epu_monetary,0.22628464278476673,0.22628464278476673
NAO_index,-0.22387271939390468,0.22387271939390468
soybeans_monthly_jumps,0.22309987137360557,0.22309987137360557
SOI_index,0.21399831099726283,0.21399831099726283
soybeans_weekly_jumps,0.1965740016144075,0.1965740016144075
corn_monthly_jumps,0.19240916053541612,0.19240916053541612
soybeans_seasonal_jumps,0.1751791998060717,0.1751791998060717
epu_sovereign_debt,0.1660177335414051,0.1660177335414051
epu_trade,-0.15175157859467142,0.15175157859467142
corn_weekly_jumps,0.15115236157550274,0.15115236157550274
wheat_seasonal_lev,-0.14801044250191253,0.14801044250191253
corn_monthly_rku,0.14007181016146242,0.14007181016146242
epu_regulation,0.13647534958361782,0.13647534958361782
corn_seasonal_jumps,0.1229606159267533,0.1229606159267533
Text_Climate_Anomaly,-0.10149648421969608,0.10149648421969608
Stock_Uncertainty,0.10022462746403552,0.10022462746403552
corn_weekly_rku,0.0962381213517103,0.0962381213517103
wheat_seasonal_rsk,-0.09084809515661227,0.09084809515661227
corn_seasonal_rku,0.08741535508985467,0.08741535508985467
epu_national_security,0.08410778433577189,0.08410778433577189
ssta_elino,-0.08357070157621492,0.08357070157621492
soybeans_seasonal_lev,0.08127288588322377,0.08127288588322377
wheat_monthly_rku,0.08006447122807696,0.08006447122807696
wheat_weekly_rku,0.07728742913530814,0.07728742913530814
soybeans_seasonal_rsk,0.07535334762641993,0.07535334762641993
epu_index,0.07164351541443911,0.07164351541443911
wheat_seasonal_rku,0.06875026643145561,0.06875026643145561
epu_overall,0.0667681046410982,0.0667681046410982
soybeans_seasonal_rku,-0.05643240490515363,0.05643240490515363
corn_seasonal_lev,0.056063796628761944,0.056063796628761944
epu_healthcare,-0.045330197367964856,0.045330197367964856
wet,0.04494611948400348,0.04494611948400348
wheat_monthly_lev,-0.0442712700512454,0.0442712700512454
soybeans_weekly_rku,0.034983264964159023,0.034983264964159023
Unnamed: 0.1,0.03476159880322334,0.03476159880322334
Unnamed: 0,0.03476159880322334,0.03476159880322334
epu_entitlement,-0.028130131776281007,0.028130131776281007
epu_fiscal,0.02599224735131425,0.02599224735131425
corn_monthly_rsk,-0.025957992392284954,0.025957992392284954
epu_govt_spending,0.024867731329617396,0.024867731329617396
dry,0.02476594026485708,0.02476594026485708
corn_seasonal_rsk,0.024701306586143654,0.024701306586143654
soybeans_monthly_rku,0.02441331460089906,0.02441331460089906
epu_taxes,0.023589209914979283,0.023589209914979283
wheat_monthly_rsk,-0.02234108680062208,0.02234108680062208
soybeans_weekly_lev,-0.020223732194528065,0.020223732194528065
soybeans_monthly_rsk,0.016883605764524152,0.016883605764524152
corn_weekly_rsk,-0.010749947067541434,0.010749947067541434
corn_weekly_lev,-0.01030349479839658,0.01030349479839658
soybeans_monthly_lev,0.007836443450656124,0.007836443450656124
wheat_weekly_rsk,0.0049263146320140784,0.0049263146320140784
Broad_Dollar_index,-0.0029484313430836223,0.0029484313430836223
corn_monthly_lev,-0.002407256602400326,0.002407256602400326
wheat_weekly_lev,0.0019707000014449736,0.0019707000014449736
soybeans_weekly_rsk,-0.0018849933030834656,0.0018849933030834656
DJIA_Index,0.00100104648856769,0.00100104648856769
