date,TMAX_q3_value_in_planting,TMAX_q3_value_in_harvesting,TMAX_q4_value_in_planting,TMAX_q4_value_in_harvesting,TMIN_q3_value_in_planting,TMIN_q3_value_in_harvesting,TMIN_q4_value_in_planting,TMIN_q4_value_in_harvesting,SPI_1m,SPI_3m,weekly_TMAX_q3_value_in_planting,weekly_TMAX_q3_value_in_harvesting,weekly_TMAX_q4_value_in_planting,weekly_TMAX_q4_value_in_harvesting,weekly_TMIN_q3_value_in_planting,weekly_TMIN_q3_value_in_harvesting,weekly_TMIN_q4_value_in_planting,weekly_TMIN_q4_value_in_harvesting,monthly_TMAX_q3_value_in_planting,monthly_TMAX_q3_value_in_harvesting,monthly_TMAX_q4_value_in_planting,monthly_TMAX_q4_value_in_harvesting,monthly_TMIN_q3_value_in_planting,monthly_TMIN_q3_value_in_harvesting,monthly_TMIN_q4_value_in_planting,monthly_TMIN_q4_value_in_harvesting
2008-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4578926125645173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7655798609220728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2859619426059656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.099449308576719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8952597344528989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-02,0.09521490347574509,0.0,0.0411040572420662,0.0,-0.03455957392183651,0.0,-0.018775347662057733,0.0,-0.48499531559449255,0.0,0.02380372586893627,0.0,0.01027601431051655,0.0,-0.008639893480459128,0.0,-0.004693836915514433,0.0,0.009521490347574508,0.0,0.00411040572420662,0.0,-0.0034559573921836514,0.0,-0.0018775347662057732,0.0
2009-03-09,0.00019334493672401685,0.0,0.0,0.0,-0.21670819628224547,0.0,-1.018498379197691,0.0,-0.44908499597656276,0.0,0.023852062103117275,0.0,0.01027601431051655,0.0,-0.0628169425510205,0.0,-0.2593184317149372,0.0,0.008673477128406283,0.0,0.0037367324765514728,0.0,-0.02284252456400745,0.0,-0.09429761153270443,0.0
2009-03-16,0.21354389895103615,0.0,0.7576225062621232,0.0,-0.004273953218222943,0.0,0.0,0.0,-0.5118798351213498,0.0,0.07723803684087631,0.0,0.19968164087604737,0.0,-0.06388543085557623,0.0,-0.2593184317149372,0.0,0.025746012280292104,0.0,0.06656054695868245,0.0,-0.02129514361852541,0.0,-0.0864394772383124,0.0
2009-03-23,0.054384769297816576,0.0,0.0,0.0,-0.217019432889495,0.0,-0.029038287614942534,0.0,-0.016386803623524467,0.0,0.09083422916533046,0.0,0.19968164087604737,0.0,-0.11814028907794998,0.0,-0.2665780036186728,0.0,0.02794899358933245,0.0,0.06144050488493765,0.0,-0.036350858177830764,0.0,-0.08202400111343779,0.0
2009-03-30,0.0,0.0,0.0,0.0,-0.32128836440863423,0.0,-0.3643099884891852,0.0,0.34144432278547365,-0.8430213622126441,0.06703050329639418,0.0,0.1894056265655308,0.0,-0.1898224866996494,0.0,-0.3529616638254547,0.0,0.02794899358933245,0.0,0.06144050488493765,0.0,-0.0610653477477257,0.0,-0.11004784638183665,0.0
