YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2009,1.1,1.9,0.4,0.8,-0.1,0.1,0.2,-0.2,0.3,-1.2,-0.6,-0.7
2010,-1.1,-1.5,-0.7,1.2,0.9,0.4,1.8,1.8,2.2,1.7,1.3,2.9
2011,2.3,2.7,2.5,1.9,0.4,0.2,1.0,0.4,1.0,0.8,1.1,2.5
2012,1.1,0.5,0.7,-0.3,0.0,-0.4,-0.0,-0.2,0.2,0.3,0.3,-0.6
2013,-0.1,-0.2,1.5,0.2,0.8,1.2,0.8,0.2,0.3,-0.1,0.7,0.1
2014,1.4,0.1,-0.9,0.8,0.5,0.2,-0.2,-0.7,-0.7,-0.6,-0.9,-0.6
2015,-0.8,0.2,-0.7,-0.0,-0.7,-0.6,-1.1,-1.4,-1.6,-1.7,-0.5,-0.6
2016,-2.2,-2.0,-0.1,-1.2,0.4,0.6,0.4,0.7,1.2,-0.3,-0.1,0.3
2017,0.2,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1
2018,1.1,-0.5,1.5,0.5,0.4,-0.1,0.2,-0.3,-0.9,0.4,-0.1,1.0
2019,-0.0,-1.4,-0.3,0.1,-0.4,-0.5,-0.4,-0.1,-1.2,-0.4,-0.8,-0.6
2020,0.2,-0.1,-0.1,0.2,0.4,-0.4,0.4,1.1,0.9,0.5,0.7,1.8
2021,1.9,1.5,0.4,0.3,0.5,0.4,1.4,0.6,0.8,0.7,1.0,1.5
2022,0.5,1.1,1.8,1.7,1.4,1.7,0.8,1.0,1.6,1.7,0.3,2.1
2023,1.4,1.4,0.2,0.2,-1.0,0.3,-0.3,-0.8,-1.3,-0.5,-0.8,-0.2
2024,0.5,-1.4,0.4,-0.2,0.5,0.0,-0.7,0.9,-0.1,0.5,0.5,1.2
2025,0.2,0.5,1.7,0.5,0.4,0.3,0.6,0.4,0.0,1.1,1.1,-0.0
