"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2026","50,121.40","50,047.79","50,512.79","49,837.45","1.73B","0.01%"
"02/01/2026","50,115.67","48,777.77","50,169.65","48,673.58","3.60B","2.50%"
"01/25/2026","48,892.47","49,137.65","49,488.81","48,459.88","2.91B","-0.42%"
"01/18/2026","49,098.71","49,005.01","49,607.29","48,428.13","2.19B","-0.53%"
"01/11/2026","49,359.33","49,499.67","49,633.35","48,851.98","3.13B","-0.29%"
"01/04/2026","49,504.07","48,475.81","49,621.43","48,449.62","2.60B","2.32%"
"12/28/2025","48,382.39","48,636.63","48,704.83","47,853.04","1.41B","-0.67%"
"12/21/2025","48,710.97","48,211.88","48,782.00","48,199.13","1.35B","1.20%"
"12/14/2025","48,134.89","48,594.36","48,679.14","47,849.48","3.30B","-0.67%"
"12/07/2025","48,458.05","47,971.51","48,886.86","47,462.94","2.48B","1.05%"
"11/30/2025","47,954.99","47,580.85","48,133.54","47,263.92","2.45B","0.50%"
"11/23/2025","47,716.42","46,351.93","47,750.77","46,108.01","2.14B","3.18%"
"11/16/2025","46,245.41","47,068.06","47,202.56","45,728.93","3.19B","-1.91%"
"11/09/2025","47,147.48","47,095.06","48,431.57","46,863.05","2.61B","0.34%"
"11/02/2025","46,987.10","47,697.33","47,697.33","46,495.62","2.70B","-1.21%"
"10/26/2025","47,562.87","47,412.80","48,040.64","47,347.28","3.07B","0.75%"
"10/19/2025","47,207.12","46,312.88","47,326.73","46,312.88","2.15B","2.20%"
"10/12/2025","46,190.61","45,698.46","46,693.34","45,452.03","2.38B","1.56%"
"10/05/2025","45,479.60","46,776.04","46,868.49","45,470.72","2.49B","-2.73%"
"09/28/2025","46,758.28","46,306.34","47,049.64","46,103.39","2.49B","1.10%"
"09/21/2025","46,247.29","46,206.69","46,714.27","45,785.17","2.55B","-0.15%"
"09/14/2025","46,315.27","45,848.39","46,396.47","45,667.42","2.83B","1.05%"
"09/07/2025","45,834.22","45,430.61","46,137.20","45,277.73","2.37B","0.95%"
"08/31/2025","45,400.86","45,287.73","45,770.20","44,948.16","2.03B","-0.32%"
"08/24/2025","45,544.88","45,605.25","45,682.83","45,192.29","2.35B","-0.19%"
"08/17/2025","45,631.74","44,963.17","45,757.84","44,579.03","2.29B","1.53%"
"08/10/2025","44,946.12","44,184.36","45,203.52","43,911.31","2.40B","1.74%"
"08/03/2025","44,175.61","43,724.02","44,498.43","43,724.02","2.45B","1.35%"
"07/27/2025","43,588.58","44,946.98","44,946.98","43,340.68","2.77B","-2.92%"
"07/20/2025","44,901.92","44,368.40","45,016.71","44,272.60","2.20B","1.26%"
"07/13/2025","44,342.19","44,346.15","44,571.68","43,758.98","2.31B","-0.07%"
"07/06/2025","44,371.51","44,803.36","44,803.36","44,160.32","2.35B","-1.02%"
"06/29/2025","44,828.53","44,020.66","44,885.83","43,889.16","2.07B","2.30%"
"06/22/2025","43,819.27","42,178.55","43,966.37","41,981.14","3.00B","3.82%"
"06/15/2025","42,206.82","42,300.13","42,707.73","42,089.99","2.24B","0.02%"
"06/08/2025","42,197.79","42,786.19","43,115.69","42,081.09","2.34B","-1.32%"
"06/01/2025","42,762.87","42,199.94","42,924.56","41,853.62","2.32B","1.17%"
"05/25/2025","42,270.07","41,849.04","42,448.72","41,828.35","2.49B","1.60%"
"05/18/2025","41,603.07","42,542.81","42,842.04","41,354.09","2.56B","-2.47%"
"05/11/2025","42,654.74","41,899.05","42,663.68","41,777.98","3.40B","3.41%"
"05/04/2025","41,249.38","41,173.38","41,773.22","40,759.41","2.26B","-0.16%"
"04/27/2025","41,317.43","40,171.74","41,386.19","39,745.63","2.71B","3.00%"
"04/20/2025","40,113.50","38,906.04","40,376.11","37,830.66","2.96B","2.48%"
"04/13/2025","39,142.23","40,546.15","40,791.18","38,950.31","2.59B","-2.66%"
"04/06/2025","40,212.71","37,879.65","40,778.70","36,611.78","5.59B","4.95%"
"03/30/2025","38,314.86","41,382.52","42,382.27","38,264.87","3.97B","-7.86%"
"03/23/2025","41,583.90","42,180.14","42,821.83","41,530.00","2.62B","-0.96%"
"03/16/2025","41,985.35","41,460.22","42,250.29","41,412.75","3.29B","1.20%"
"03/09/2025","41,488.19","42,507.65","42,541.36","40,661.77","3.63B","-3.07%"
"03/02/2025","42,801.72","43,900.49","44,033.78","42,175.62","3.54B","-2.37%"
"02/23/2025","43,840.91","43,493.12","43,884.19","43,100.87","3.39B","0.95%"
"02/16/2025","43,428.02","44,583.91","44,636.19","43,349.33","2.06B","-2.51%"
